ID,Name,Location
BPZ82XIN7BS,Symbicort,MX
FCH68JZG7AL,Bystolic,MX
AVF98AQJ6FN,Vytorin,MX
DWK04ZCV7PD,Venlafaxine HCl ER,MX
EDS84ZKK4SR,Azithromycin,MX
HOP22GGA5BY,Amoxicillin,USA
JDY40XTF7LQ,Risperidone,USA
ALX93BFI7QG,Amoxicillin,USA
LBN04YIB0ZH,Fluticasone Propionate,MX
YNV41NMX3SW,Enalapril Maleate,any
FEY05RCY5ZL,Lyrica,MX
PWI74JCD0ZF,Zolpidem Tartrate,MX
QQQ03SNX6HQ,Atenolol,USA
HPN87CLH6QJ,Clonazepam,MX
EKI11JAQ6LE,Triamterene/Hydrochlorothiazide,Europe
FZZ76CGU6BS,Azithromycin,Europe
DAC43TUQ4MD,Carvedilol,MX
DMP35KAI9JG,Folic Acid,USA
CCY07AQO1VE,Allopurinol,USA
RIO17NGP0IA,Clonazepam,USA
KGZ63BTH9GB,Furosemide,USA
OTL61ZIA9BP,Viagra,MX
IVE29EYU1OW,Furosemide,MX
NDF46LUO4OA,Niaspan,USA
HKN39VAA5ES,Lyrica,USA
UWW08OHP6FD,Amoxicillin Trihydrate/Potassium Clavulanate,USA
VIW93BRO6CF,Amlodipine Besylate,Europe
CQO00EXT6XL,Triamterene/Hydrochlorothiazide,Europe
VBE50ADT0GM,Lisinopril/Hydrochlorothiazide,MX
ODF58SOI9TH,Clonazepam,Europe
OWL56FDC6OB,Alendronate Sodium,MX
IBF56WUG7ZL,Pravastatin Sodium,MX
LAR18QWC0AI,Metoprolol Succinate,MX
JUD90SEH9ME,Gianvi,MX
ZEG30AZM2AV,Celebrex,MX
IZX40WNL4CE,Carvedilol,MX
IQG19XLJ2HL,Lidoderm,USA
YFR34VWP8UX,Famotidine,MX
VKG12IAU5NV,Metformin HCl,MX
HBW89DXM5DD,Ventolin HFA,any
LVQ31FYW1WB,Zolpidem Tartrate,MX
KIV97YYW6BO,Clonazepam,Europe
NQQ16YPX6TJ,Metformin HCl,Europe
TAB21NDG1NN,Gianvi,Europe
YGF57YOI9AR,Carvedilol,MX
EMJ05CHR1ZT,Metformin HCl,MX
EKM56AHF9YK,Zyprexa,MX
JRS78KAG2DL,Prednisone,Europe
PYC14CXR1CT,Tamsulosin HCl,Europe
MCX10PJV1IV,Prednisone,Europe
BVF06FXR9XN,Prednisone,Europe
URJ62RXY5KS,Sertraline HCl,Europe
ZJE65YBB8VW,Hydrochlorothiazide,MX
VOY99JKL2GO,Vyvanse,any
UBR46JZG1XL,Atenolol,Europe
WDN51OYX3QC,APAP/Codeine,any
VTK50GVA4DZ,Paroxetine HCl,Europe
THI20SEJ8FI,Vytorin,any
VEX91GWO1PC,Vitamin D (Rx),Europe
UVE07HWM4LK,Flovent HFA,MX
TZV00IEW2RS,Spiriva Handihaler,MX
RGW99PNH7ZO,Levaquin,MX
FOR40ROG6JX,Hydrocodone/APAP,Europe
AAS92JDC5DN,Atenolol,MX
DHM09MPH6ZL,Levothyroxine Sodium,any
DTD50OEG6GZ,Abilify,MX
VNJ53OVS2AN,Proair HFA,any
UFF30GLM8UH,Digoxin,Europe
VKH43SFQ1KS,Lidoderm,Europe
WIA23VVR6XY,Meloxicam,Europe
DSG21WVS5GJ,Sertraline HCl,Europe
PSV04ZGO3NN,Warfarin Sodium,MX
EZT03OIP1PW,Furosemide,Europe
LDC85WLF8LZ,Amoxicillin Trihydrate/Potassium Clavulanate,MX
WPH72QQF8NX,Zolpidem Tartrate,Europe
YNF91IRI8SX,Viagra,any
MFG92IYK7VR,Actos,USA
NBP72GIC2BM,Amlodipine Besylate,Europe
NFB31DYJ8OD,Venlafaxine HCl ER,Europe
PCM69FFE7FI,Gianvi,USA
KAQ36QYR9CI,Fluticasone Propionate,any
RBY23EWC8LS,Atenolol,MX
MGT35QGC2JZ,Alprazolam,USA
EUJ42WHY2DN,Ventolin HFA,Europe
ZJY69TOG7IN,Diazepam,Europe
RAI55JHQ6YU,Hydrochlorothiazide,MX
XUF20NPY1NI,Simvastatin,MX
KQE15AXF0IP,Nasonex,any
STS65IFI2VG,Lisinopril/Hydrochlorothiazide,USA
HFO21OEZ1OK,Simvastatin,Europe
TAQ46NNF5EJ,Diazepam,Europe
VER18ZWL3MH,Atenolol,USA
ZQW97OCA1KT,Diazepam,MX
VZU64KWV9KA,Abilify,Europe
UXL51ZPY9YH,Lidoderm,MX
SSP39FVT4HM,Tricor,MX
NRT45MUX0KP,Hydrochlorothiazide,USA
SKQ66OXJ6FP,Omeprazole (Rx),USA
KVF81DXB6PN,Alprazolam,MX
IZR55ZDD9GZ,Carvedilol,USA
